organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-17T22:49:58.494Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990268,-76.945854,29,https://images.compology.com/1/raw_device_data/a644dfbf-0c91-4801-8d91-667ef04cd7ae
universityofmaryland,2020-03-17T22:50:20.246Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,40,f,,,38.976299,-76.925544,24,https://images.compology.com/1/raw_device_data/39b6a44f-f327-49e6-956a-e5de0b6cc998
universityofmaryland,2020-03-17T22:50:23.692Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,25,f,,,38.978523,-76.925384,28,https://images.compology.com/1/raw_device_data/53022d38-801a-4d81-bed6-e0ec5c579bf7
universityofmaryland,2020-03-18T02:45:33.531Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,10,f,,,38.979476,-76.925384,27,https://images.compology.com/1/raw_device_data/f5f8420a-016d-4f96-a7e3-8ac378f609e6
universityofmaryland,2020-03-18T02:46:12.489Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.979431,-76.925346,28,https://images.compology.com/1/raw_device_data/d3ae96eb-e584-44cb-9299-0c42cb515cf4
universityofmaryland,2020-03-18T02:46:24.550Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,f,,,38.983696,-76.947593,14,https://images.compology.com/1/raw_device_data/6a09369a-891e-45ed-afb5-cb57b2f02f4f
universityofmaryland,2020-03-18T02:46:50.827Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.990287,-76.945648,30,https://images.compology.com/1/raw_device_data/7a83a16d-d26d-42dc-9440-573303ace022
universityofmaryland,2020-03-18T02:46:52.671Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,15,f,,,38.976722,-76.925239,25,https://images.compology.com/1/raw_device_data/10f344a3-6872-4656-a149-4e753660c54e
universityofmaryland,2020-03-18T02:48:47.649Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992511,-76.950378,27,https://images.compology.com/1/raw_device_data/10a9e0a9-fd96-467d-a754-fb47c31e4039
universityofmaryland,2020-03-18T02:49:24.708Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992569,-76.950454,29,https://images.compology.com/1/raw_device_data/55c5a5b2-c454-4c8f-b193-967118b11ed4
